blk2010gj,blk2010ge,blk2020gj,blk2020ge,parea,weight
G15000100201001000,150010201001000,G15000100201003062,150010201003062,1,1
G15000100201001001,150010201001001,G15000100201003062,150010201003062,1,1
G15000100201001002,150010201001002,G15000100201003062,150010201003062,1,1
G15000100201001003,150010201001003,G15000100201003062,150010201003062,1,1
G15000100201001004,150010201001004,G15000100201003052,150010201003052,1,1
G15000100201001005,150010201001005,G15000100201003052,150010201003052,1,1
G15000100201001006,150010201001006,G15000100201003047,150010201003047,0.0058774716,0
G15000100201001006,150010201001006,G15000100201003048,150010201003048,0.9941225284,1
G15000100201001007,150010201001007,G15000100201003046,150010201003046,1,1
G15000100201001008,150010201001008,G15000100201003045,150010201003045,1,1
G15000100201001009,150010201001009,G15000100201003043,150010201003043,0.1959287573,0.0027203033
G15000100201001009,150010201001009,G15000100201003045,150010201003045,0.8040712427,0.9972796967
G15000100201001010,150010201001010,G15000100201003044,150010201003044,1,1
G15000100201001011,150010201001011,G15000100201003044,150010201003044,1,1
G15000100201001012,150010201001012,G15000100201003020,150010201003020,0.0936506763,1
G15000100201001012,150010201001012,G15000100201003044,150010201003044,0.9063493237,0
G15000100201001013,150010201001013,G15000100201003044,150010201003044,1,1
G15000100201001014,150010201001014,G15000100201003020,150010201003020,1,1
G15000100201001015,150010201001015,G15000100201003020,150010201003020,1,1
G15000100201001016,150010201001016,G15000100201003020,150010201003020,1,1
G15000100201001017,150010201001017,G15000100201003020,150010201003020,1,1
G15000100201001018,150010201001018,G15000100201003020,150010201003020,1,1
G15000100201001019,150010201001019,G15000100201003020,150010201003020,1,1
G15000100201001020,150010201001020,G15000100201003020,150010201003020,1,1
G15000100201001021,150010201001021,G15000100201003020,150010201003020,1,1
G15000100201001022,150010201001022,G15000100201003020,150010201003020,1,1
G15000100201001023,150010201001023,G15000100201003020,150010201003020,1,1
G15000100201001024,150010201001024,G15000100201003020,150010201003020,1,1
G15000100201001025,150010201001025,G15000100201003020,150010201003020,1,1
G15000100201001026,150010201001026,G15000100201003020,150010201003020,1,1
G15000100201001027,150010201001027,G15000100201003020,150010201003020,1,1
